,PowerCapacity,Type,Unit,Zone,Technology,Fuel,JRC_id,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,NoLoadCost,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,CHPMaxHeat,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,HEATType,HEATCapacity,Tmin,Tmax,coeffM,coeffP,DHIndex,T_hp,eta
1,37.5,Fossil Gas,M07GTG_1-37.5MW,CY,GTUR,OIL,0,0.306,,,0.13333,0.13333,2500,240,0,0.106,0.1522,0,0,,,,,,,,,,,,,,,,,
2,37.5,Fossil Gas,M08GTG_2-37.5MW,CY,GTUR,OIL,0,0.306,,,0.13333,0.13333,2500,240,0,0.106,0.1522,0,0,,,,,,,,,,,,,,,,,
3,37.5,Fossil Gas,M09GTG_3-37.5MW,CY,GTUR,OIL,0,0.306,,,0.13333,0.13333,2500,240,0,0.106,0.1522,0,0,,,,,,,,,,,,,,,,,
4,37.5,Fossil Gas,M10GTG_4-37.5MW,CY,GTUR,OIL,0,0.306,,,0.13333,0.13333,2500,240,0,0.106,0.1522,0,0,,,,,,,,,,,,,,,,,
5,60,Fossil Gas,D1STG-60MW,CY,STUR,OIL,0,0.316,,,0.025,0.0333,10000,30,0,0.4833,0.2867,0,0,,,,,,,,,,,,,,,,,
6,60,Fossil Gas,D2STG-60MW,CY,STUR,OIL,0,0.316,,,0.025,0.0333,10000,30,0,0.4833,0.2867,0,0,,,,,,,,,,,,,,,,,
7,60,Fossil Gas,D3STG-60MW,CY,STUR,OIL,0,0.316,,,0.025,0.0333,10000,30,0,0.4833,0.2867,0,0,,,,,,,,,,,,,,,,,
8,60,Fossil Gas,D4STG-60MW,CY,STUR,OIL,0,0.316,,,0.025,0.0333,10000,30,0,0.4833,0.2867,0,0,,,,,,,,,,,,,,,,,
9,60,Fossil Gas,D5STG-60MW,CY,STUR,OIL,0,0.316,,,0.025,0.0333,10000,30,0,0.4833,0.2867,0,0,,,,,,,,,,,,,,,,,
10,60,Fossil Gas,D6STG-60MW,CY,STUR,OIL,0,0.316,,,0.025,0.0333,10000,30,0,0.4833,0.2867,0,0,,,,,,,,,,,,,,,,,
11,17.48,Internal Combustion Engine,DICE1-17.48MW,CY,ICEN,OIL,0,0.421,,,0.0572,0.0572,1200,85,0,0.8581,0.4063,0,0,,,,,,,,,,,,,,,,,
12,17.48,Internal Combustion Engine,DICE2-17.48MW,CY,ICEN,OIL,0,0.421,,,0.0572,0.0572,1200,85,0,0.8581,0.4063,0,0,,,,,,,,,,,,,,,,,
13,17.48,Internal Combustion Engine,DICE3-17.48MW,CY,ICEN,OIL,0,0.421,,,0.0572,0.0572,1200,85,0,0.8581,0.4063,0,0,,,,,,,,,,,,,,,,,
14,17.07,Internal Combustion Engine,DICE4-17.07MW,CY,ICEN,OIL,0,0.421,,,0.0586,0.0586,600,85,0,0.8787,0.4063,0,0,,,,,,,,,,,,,,,,,
15,17.07,Internal Combustion Engine,DICE5-17.07MW,CY,ICEN,OIL,0,0.421,,,0.0586,0.0586,600,85,0,0.8787,0.4063,0,0,,,,,,,,,,,,,,,,,
16,17.07,Internal Combustion Engine,DICE6-17.07MW,CY,ICEN,OIL,0,0.421,,,0.0586,0.0586,600,85,0,0.8787,0.4063,0,0,,,,,,,,,,,,,,,,,
17,130,Fossil Gas,V1STG1-130MW,CY,STUR,OIL,0,0.4012,,,0.0277,0.0277,20000,60,0,0.4435,0.3676,0,0,,,,,,,,,,,,,,,,,
18,130,Fossil Gas,V2STG1-130MW,CY,STUR,OIL,0,0.4012,,,0.0277,0.0277,20000,60,0,0.4435,0.3676,0,0,,,,,,,,,,,,,,,,,
19,130,Fossil Gas,V3STG1-130MW,CY,STUR,OIL,0,0.4012,,,0.0277,0.0277,20000,60,0,0.4435,0.3676,0,0,,,,,,,,,,,,,,,,,
20,37.5,Fossil Gas,V-GTG-37.5MW,CY,GTUR,OIL,0,0.306,,,0.1333,0.1333,2500,240,0,0.106,0.1522,0,0,,,,,,,,,,,,,,,,,
21,216,Fossil Gas,VasilikosCCCP2,CY,COMC,BIO,0,0.4868,6,,0.027272727,0.027272727,17500,870,0,0.272727273,0.4793,0,0,extraction,1,0.18,,800,0.03,,,chp,10000000,0,150,-1,7,2,,
22,147,Wind Onshore,DispaSET WindOn_CY,CY,WTON,WIN,0,1,0,0,0.108086469,0.108086469,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,
23,61,Photovoltaic,DispaSET PHOT_CY,CY,PHOT,SUN,0,1,0,0,0.304774805,0.304774805,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,
24,0,Heat pump,Gilles-HP,CY,HP,ELEC,0,1,0,0,0.027272727,0.027272727,2500,240,0,0.106,0.1522,0,0,,,,,,,,,hp,500000,5,50,-1,7,2,70,0.5
25,0,Geothermal,Gilles-Geo,CY,GEO,Geothermal,0,1,0,0,0.027272727,0.027272727,2500,240,0,0.107,0.1523,0,0,,,,,,,,,geo,200,0,60,-1,7,2,,
26,0,Solar thermal,Gilles-STH,CY,STH,SUN,0,1,0,0,0.027272727,0.027272727,2500,240,0,0.108,0.1524,0,0,,,,,,,,,solarth,50,0,100,-1,7,2,,
27,0,Heat pump,Gilles-HP2,CY,HP,ELEC,0,1,0,0,0.027272727,0.027272727,0,0,0,0.106,0.1522,0,0,,,,,,,,,hp,100000,5,50,-1,7,1,60,0.25
28,0,Biomass,Gilles-Biomass,CY,BOIL,BIO,0,1,0,0,0.027272728,0.027272728,0,0,0,0.107,0.1523,0,0,,,,,,,,,biomass,100000,0,,-1,7,1,,
